time,step,cases,controls,total
3,0.49,0.3750,0.5128,0.4603
4,0.49,0.7500,0.5641,0.6349
5,0.49,0.5833,0.4872,0.5238
1,0.5,0.5833,0.7179,0.6667
2,0.5,0.6667,0.6667,0.6667
3,0.5,0.6250,0.7436,0.6984
4,0.5,0.7500,0.6923,0.7143
5,0.5,0.6667,0.5641,0.6032
1,0.51,0.5000,0.6154,0.5714
2,0.51,0.6667,0.7179,0.6984
3,0.51,0.5833,0.6410,0.6190
4,0.51,0.5833,0.5897,0.5873
5,0.51,0.5417,0.7436,0.6667
1,0.52,0.5833,0.6923,0.6508
2,0.52,0.4583,0.6667,0.5873
3,0.52,0.5833,0.6410,0.6190
4,0.52,0.6250,0.5385,0.5714
5,0.52,0.5833,0.7436,0.6825
1,0.53,0.5833,0.6667,0.6349
2,0.53,0.5833,0.5897,0.5873
3,0.53,0.5833,0.7949,0.7143
4,0.53,0.5833,0.6410,0.6190
5,0.53,0.5000,0.6410,0.5873
1,0.54,0.6250,0.5128,0.5556
2,0.54,0.7917,0.5385,0.6349
3,0.54,0.9167,0.5897,0.7143
4,0.54,0.5417,0.6923,0.6349
5,0.54,0.7917,0.6410,0.6984
1,0.55,0.5417,0.7436,0.6667
2,0.55,0.4167,0.6154,0.5397
3,0.55,0.4583,0.8205,0.6825
4,0.55,0.5833,0.7436,0.6825
5,0.55,0.6667,0.8205,0.7619
1,0.56,0.4583,0.7179,0.6190
2,0.56,0.5833,0.5385,0.5556
3,0.56,0.5000,0.7179,0.6349
4,0.56,0.3750,0.5641,0.4921
5,0.56,0.4583,0.5641,0.5238
1,0.5700000000000001,0.7083,0.4615,0.5556
2,0.5700000000000001,0.6667,0.6923,0.6825
3,0.5700000000000001,0.7500,0.5897,0.6508
4,0.5700000000000001,0.5000,0.5128,0.5079
5,0.5700000000000001,0.7083,0.4359,0.5397
1,0.5800000000000001,0.5000,0.6667,0.6032
2,0.5800000000000001,0.6250,0.5897,0.6032
3,0.5800000000000001,0.6250,0.6410,0.6349
4,0.5800000000000001,0.4583,0.7179,0.6190
5,0.5800000000000001,0.7083,0.5385,0.6032
1,0.5900000000000001,0.7500,0.5641,0.6349
2,0.5900000000000001,0.6250,0.6410,0.6349
3,0.5900000000000001,0.7083,0.5641,0.6190
4,0.5900000000000001,0.5417,0.6923,0.6349
5,0.5900000000000001,0.5417,0.4615,0.4921
1,0.6,0.4167,0.6923,0.5873
2,0.6,0.4167,0.7692,0.6349
3,0.6,0.4167,0.7949,0.6508
4,0.6,0.7083,0.6667,0.6825
5,0.6,0.4167,0.7692,0.6349
1,0.61,0.3750,0.6667,0.5556
2,0.61,0.5000,0.7179,0.6349
3,0.61,0.4583,0.6410,0.5714
4,0.61,0.6250,0.6923,0.6667
5,0.61,0.6250,0.7179,0.6825
1,0.62,0.4167,0.7692,0.6349
2,0.62,0.4167,0.8205,0.6667
3,0.62,0.5417,0.7179,0.6508
4,0.62,0.4167,0.6923,0.5873
5,0.62,0.4167,0.7692,0.6349
1,0.63,0.5417,0.6667,0.6190
2,0.63,0.4167,0.5897,0.5238
3,0.63,0.7083,0.6667,0.6825
4,0.63,0.6250,0.5128,0.5556
5,0.63,0.5833,0.5897,0.5873
1,0.64,0.7083,0.6667,0.6825
2,0.64,0.5833,0.4615,0.5079
3,0.64,0.5833,0.5897,0.5873
4,0.64,0.5000,0.4872,0.4921
5,0.64,0.6250,0.5641,0.5873
1,0.65,0.4167,0.6667,0.5714
2,0.65,0.7083,0.6667,0.6825
3,0.65,0.4583,0.7179,0.6190
4,0.65,0.6667,0.6154,0.6349
5,0.65,0.6667,0.7692,0.7302
1,0.55,0.5833,0.5641,0.5714
2,0.55,0.7083,0.6667,0.6825
3,0.55,0.4167,0.7436,0.6190
4,0.55,0.7083,0.7949,0.7619
5,0.55,0.6250,0.6923,0.6667
6,0.55,0.4583,0.8462,0.6984
7,0.55,0.5833,0.8205,0.7302
8,0.55,0.6667,0.8718,0.7937
9,0.55,0.5833,0.6410,0.6190
10,0.55,0.5833,0.7692,0.6984
1,0.55,0.6122,0.7848,0.7188
2,0.55,0.4694,0.8101,0.6797
3,0.55,0.4694,0.7468,0.6406
4,0.55,0.4694,0.7975,0.6719
5,0.55,0.4694,0.6456,0.5781
6,0.55,0.4694,0.8101,0.6797
7,0.55,0.4898,0.7342,0.6406
8,0.55,0.5306,0.7342,0.6562
9,0.55,0.5918,0.7468,0.6875
10,0.55,0.6531,0.7215,0.6953
1,0.55,1.0000,0.1139,0.4531
2,0.55,0.9388,0.1266,0.4375
3,0.55,0.8776,0.1392,0.4219
4,0.55,0.9592,0.1392,0.4531
5,0.55,0.9388,0.0759,0.4062
6,0.55,0.9592,0.1899,0.4844
7,0.55,0.9796,0.1392,0.4609
8,0.55,0.9796,0.0633,0.4141
9,0.55,0.8776,0.2405,0.4844
10,0.55,0.9796,0.1139,0.4453
top_ratio=0.05, mean_acc = 0.5977
