spindle_no,time,1.0_dist,2.0_dist,3.0_dist,4.0_dist,5.0_dist,6.0_dist,membership
112,0.4841,0.6013,0.6154,0.4993,0.3203,0.4023,0.3481,4
113,0.4845,0.3075,0.3779,0.5161,0.3108,0.1001,0.1803,5
114,0.4858,0.2182,0.3603,0.7438,0.4727,0.2652,0.4080,1
115,0.4864,0.4810,0.4951,0.5063,0.3896,0.2820,0.2278,6
116,0.4869,0.6321,0.7026,0.6501,0.6355,0.4213,0.4204,6
117,0.4895,0.5763,0.6468,0.5943,0.5797,0.3655,0.3646,6
118,0.4900,0.5870,0.6574,0.2706,0.5903,0.3861,0.3752,3
119,0.4903,0.6036,0.6741,0.4033,0.6070,0.3928,0.3918,6
120,0.4907,0.5969,0.6673,0.7818,0.6002,0.3860,0.4460,5
121,0.4911,0.6256,0.6397,0.6988,0.2948,0.4266,0.3724,4
122,0.4926,0.4681,0.6102,0.9937,0.7226,0.4605,0.6578,5
123,0.4938,0.9474,0.8769,1.3690,0.9939,1.1582,1.1592,2
124,0.4959,0.5538,0.6242,0.7863,0.5571,0.3429,0.4505,5
125,0.4962,0.3281,0.5551,1.0023,0.5361,0.4736,0.6176,1
126,0.4994,0.7433,0.7574,0.5503,0.4125,0.5443,0.4901,4
127,0.5019,0.9858,0.7025,0.3262,0.7329,0.8522,0.6549,3
128,0.5046,0.5928,0.6069,0.4760,0.3081,0.3938,0.3396,4
129,0.5057,1.1924,1.0262,0.6248,0.7968,1.0589,0.8615,3
130,0.5064,0.8935,0.6102,0.4832,0.4978,0.7599,0.5626,3
131,0.5071,0.7588,0.7523,0.3240,0.4074,0.6252,0.4850,3
132,0.5078,1.3808,1.3239,0.8956,0.9851,1.2472,1.0566,3
133,0.5086,0.6762,0.6790,0.4718,0.3340,0.5426,0.4117,4
134,0.5127,0.3508,0.6341,1.0176,0.7465,0.4844,0.6817,1
135,0.5130,0.4279,0.4420,0.6518,0.1469,0.2289,0.2672,4
136,0.5157,0.4693,0.6114,0.9949,0.7238,0.4617,0.6590,5
137,0.5159,0.4649,0.4790,0.4290,0.2805,0.2993,0.2117,6
138,0.5165,0.5738,0.6443,0.5918,0.5772,0.3630,0.3620,6
139,0.5177,0.5653,0.5794,0.4633,0.2843,0.3663,0.3121,4
140,0.5191,0.1701,0.4534,0.8369,0.5658,0.3037,0.5011,1
141,0.5194,0.8831,0.9536,0.4615,0.8864,0.6723,0.6713,3
142,0.5222,0.3679,0.4383,0.5765,0.3712,0.1570,0.2406,5
143,0.5237,0.6108,0.6249,0.5088,0.3298,0.4118,0.3576,4
144,0.5241,0.3741,0.4446,0.5828,0.3774,0.1633,0.2469,5
145,0.5244,0.3878,0.4564,0.4876,0.3893,0.1888,0.1742,6
146,0.5247,0.5849,0.6553,0.8174,0.5882,0.3740,0.4816,5
147,0.5262,0.1475,0.4308,0.8143,0.5432,0.2811,0.4785,1
148,0.5269,0.5490,0.5256,0.4095,0.2305,0.4154,0.2583,4
149,0.5280,0.3829,0.6099,1.0570,0.4444,0.5408,0.6724,1
150,0.5284,0.2473,0.3204,0.7039,0.4370,0.3051,0.3680,1
151,0.5335,0.3157,0.3862,0.6744,0.4032,0.1411,0.3385,5
152,0.5341,0.3455,0.4160,0.6762,0.4051,0.1430,0.3403,5
153,0.5346,0.3695,0.6528,1.0363,0.7652,0.5031,0.7004,1
154,0.5395,0.5934,0.6638,0.4989,0.5967,0.3825,0.3816,6
