spindle_no,time,1.0_dist,2.0_dist,3.0_dist,4.0_dist,5.0_dist,6.0_dist,membership
170,3.7896,0.3038,0.1166,0.6087,0.4191,0.3979,0.3989,2
171,3.8094,0.6339,0.7044,0.8523,0.6373,0.4231,0.5164,5
172,3.8103,0.3624,0.4329,0.7907,0.5196,0.2575,0.4549,5
173,4.1011,0.3215,0.5022,0.8857,0.6523,0.5205,0.5747,1
174,4.1224,0.9786,1.0490,0.5570,0.9819,0.7869,0.7668,3
175,4.1509,0.6777,0.7481,0.6352,0.6810,0.4668,0.4659,6
176,4.1876,0.6321,0.7025,0.8504,0.6354,0.4212,0.5145,5
177,4.1926,0.5250,0.5646,0.7125,0.4975,0.3795,0.3766,6
178,4.1928,0.5375,0.6079,0.7559,0.5408,0.3362,0.4200,5
179,4.1931,0.5883,0.6169,0.5405,0.5498,0.4429,0.3347,6
180,4.2010,0.1412,0.2693,0.6528,0.3817,0.1920,0.3169,1
181,4.2025,0.5919,0.3650,0.7677,0.6842,0.5524,0.6066,2
182,4.2367,0.5336,0.6040,0.7519,0.5369,0.3401,0.4160,5
183,4.5215,0.3084,0.2943,0.7226,0.6392,0.5074,0.5616,2
184,4.5264,0.3611,0.3937,0.5416,0.3266,0.2157,0.2057,6
185,4.5302,0.6841,0.7545,0.6415,0.6874,0.4732,0.4723,6
186,4.5309,0.3863,0.2716,0.6294,0.4786,0.3468,0.4010,2
187,4.5323,0.4379,0.2952,0.4691,0.3764,0.2925,0.2687,6
188,4.5331,0.6889,0.7594,0.6829,0.6922,0.4781,0.4771,6
189,4.5344,0.3391,0.2007,0.4296,0.1830,0.2055,0.1197,6
190,4.5373,0.4074,0.3474,0.4953,0.3458,0.2619,0.2121,6
191,4.5473,0.5450,0.6154,0.7633,0.5483,0.3341,0.4274,5
192,4.5521,0.4230,0.2349,0.5988,0.5153,0.3835,0.4377,2
193,4.5539,0.7106,0.7810,0.6680,0.7139,0.4997,0.4988,6
194,4.5561,0.4128,0.4833,0.4819,0.4162,0.2020,0.2011,6
195,4.5583,0.4571,0.1738,0.4476,0.3011,0.3236,0.2378,2
196,4.5605,0.3493,0.4198,0.7776,0.5065,0.2444,0.4417,5
197,4.5614,0.3029,0.3550,0.7129,0.4417,0.2634,0.3770,5
198,4.5646,0.7053,0.5513,0.3104,0.6438,0.5599,0.4158,3
199,4.5660,0.1888,0.2132,0.4922,0.2211,0.0704,0.1564,5
200,4.5697,0.6330,0.7034,0.5905,0.6363,0.4221,0.4212,6
201,4.5714,0.5736,0.6440,0.7920,0.5769,0.3627,0.4561,5
202,4.5797,0.3302,0.1032,0.4271,0.3436,0.2118,0.2660,2
203,4.5825,0.3081,0.3786,0.7364,0.4653,0.2398,0.4005,5
204,4.5881,0.5858,0.6563,0.2482,0.5892,0.4003,0.3741,3
205,4.6009,0.2637,0.1468,0.5303,0.4463,0.3145,0.3687,2
206,4.6025,0.4463,0.1630,0.4195,0.2859,0.3127,0.2097,2
207,4.6106,0.6211,0.3941,0.6129,0.5596,0.4757,0.4519,2
208,4.6249,0.2182,0.1924,0.5758,0.4008,0.2689,0.3232,2
209,4.6465,0.7279,0.5286,0.3050,0.6664,0.5825,0.4384,3
210,4.6478,0.4853,0.2695,0.4511,0.4238,0.3399,0.2901,2
211,4.6488,0.7860,0.5027,0.7721,0.3903,0.6524,0.5623,4
212,4.6655,0.3824,0.1554,0.4792,0.3958,0.2640,0.3182,2
213,4.6666,0.5657,0.3388,0.4037,0.5042,0.4203,0.2762,6
214,4.6693,0.6603,0.7307,0.6178,0.6636,0.4494,0.4485,6
215,4.6814,0.6644,0.4375,0.8401,0.7567,0.6249,0.6791,2
216,4.6969,0.5684,0.2851,0.5416,0.4081,0.4349,0.3318,2
217,4.7019,0.5238,0.2969,0.4896,0.4623,0.3784,0.3286,2
218,4.7072,0.3489,0.4194,0.5673,0.3522,0.1900,0.2314,5
219,4.7244,0.5727,0.2894,0.5632,0.4167,0.4391,0.3534,2
220,4.7387,0.6209,0.6914,0.8393,0.6243,0.4101,0.5034,5
221,4.7413,0.6480,0.7184,0.6419,0.6513,0.4371,0.4362,6
222,4.7495,0.4048,0.3283,0.5023,0.3433,0.2593,0.2356,6
223,4.7588,0.6228,0.3959,0.7986,0.7151,0.5833,0.6375,2
224,4.7690,0.5243,0.2973,0.5161,0.4628,0.3789,0.3551,2
225,4.7720,0.3895,0.3653,0.5132,0.3280,0.2440,0.1943,6
226,4.7771,0.9969,0.7699,1.0937,1.0103,0.8785,0.9327,2
227,4.7949,0.6090,0.6284,0.5155,0.5613,0.4635,0.3462,6
228,4.8236,0.8670,0.6401,0.6836,0.8055,0.7216,0.5775,6
229,4.8395,0.3984,0.2595,0.6173,0.4907,0.3589,0.4131,2
230,4.8617,0.3420,0.3159,0.6737,0.4343,0.3025,0.3567,5
231,4.8730,0.5814,0.6519,0.5754,0.5848,0.4079,0.3697,6
232,4.8885,0.3967,0.6800,1.0635,0.7924,0.5303,0.7277,1
233,4.9363,0.3510,0.4215,0.7793,0.5082,0.2461,0.4434,5
234,4.9394,0.6499,0.7204,0.8683,0.6533,0.4391,0.5324,5
235,4.9521,0.3503,0.3076,0.6654,0.4426,0.3108,0.3650,2
236,5.0308,0.5458,0.6162,0.7641,0.5491,0.3349,0.4283,5
237,5.0537,0.6674,0.7379,0.4970,0.6708,0.4566,0.4556,6
238,5.1321,0.5702,0.6406,0.7885,0.5735,0.3593,0.4527,5
239,5.1529,0.6285,0.6989,0.8468,0.6318,0.4176,0.5110,5
240,5.2261,0.6640,0.7345,0.8824,0.6674,0.4532,0.5465,5
241,5.2535,0.2778,0.1327,0.5438,0.4604,0.3286,0.3828,2
242,5.3184,0.6163,0.6211,0.5081,0.5548,0.4709,0.3388,6
243,5.3423,0.4157,0.4862,0.6341,0.4191,0.2049,0.2982,5
244,5.3719,0.6205,0.6909,0.4501,0.6238,0.4202,0.4087,6
245,5.4028,0.6503,0.7207,0.8686,0.6536,0.4394,0.5328,5
246,5.5347,0.4033,0.4737,0.6477,0.4066,0.1924,0.3118,5
247,5.5358,0.5922,0.6626,0.8105,0.5955,0.3813,0.4747,5
248,5.5376,0.4018,0.4722,0.8300,0.5589,0.2968,0.4942,5
249,5.7829,0.7472,0.8176,0.7047,0.7505,0.5363,0.5354,6
250,5.8255,0.6595,0.7299,0.6169,0.6628,0.4486,0.4477,6
251,5.9304,0.5714,0.6418,0.7897,0.5747,0.3605,0.4538,5
252,5.9306,0.4691,0.3067,0.2118,0.4076,0.3237,0.1796,6
253,5.9323,0.6338,0.7043,0.4635,0.6372,0.4230,0.4221,6
254,5.9328,0.5998,0.6703,0.8182,0.6031,0.3890,0.4823,5
255,5.9331,0.6229,0.6933,0.8413,0.6262,0.4120,0.5054,5
256,5.9505,0.2643,0.5476,0.9311,0.6600,0.3979,0.5952,1
257,5.9519,0.3831,0.4536,0.6015,0.3865,0.1723,0.2656,5
258,5.9906,0.3403,0.4108,0.5847,0.3437,0.1769,0.2488,5
259,5.9913,0.4053,0.4757,0.8336,0.5624,0.3003,0.4977,5
